STATISTIC,Statistic Label,TLIST(A1),Year,C04313V05092,Type of Expenditure on Education,UNIT,VALUE
CEPHA18C01,Government Expenditure on Education,1933,1933,300,Department of Education Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1933,1933,310,Residential Homes and Special Schools,£,
CEPHA18C01,Government Expenditure on Education,1933,1933,320,Other Government Departments,£,
CEPHA18C01,Government Expenditure on Education,1933,1933,330,Total Gross Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1933,1933,340,Total Appropropriations in Aid,£,
CEPHA18C01,Government Expenditure on Education,1933,1933,350,Total Net Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1934,1934,100,Administration,£,153068
CEPHA18C01,Government Expenditure on Education,1934,1934,110,Teacher Training - Primary Education,£,99412
CEPHA18C01,Government Expenditure on Education,1934,1934,120,Teacher Salary - Primary Education,£,3273485
CEPHA18C01,Government Expenditure on Education,1934,1934,130,Teacher Pension - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1934,1934,135,Teacher Pension (Grants in Aid) - Primary Education,£,77052
CEPHA18C01,Government Expenditure on Education,1934,1934,140,Miscellaneous - Primary Education,£,24860
CEPHA18C01,Government Expenditure on Education,1934,1934,150,Appropriations in Aid (deduct) - Primary Education,£,9348
CEPHA18C01,Government Expenditure on Education,1934,1934,160,Total Primary Education,£,3465461
CEPHA18C01,Government Expenditure on Education,1934,1934,170,Total Secondary Education,£,384851
CEPHA18C01,Government Expenditure on Education,1934,1934,180,State funds - Technical (Vocational),£,213153
CEPHA18C01,Government Expenditure on Education,1934,1934,190,Local rates - Technical (Vocational),£,117954
CEPHA18C01,Government Expenditure on Education,1934,1934,200,Total Technical (Vocational),£,331107
CEPHA18C01,Government Expenditure on Education,1934,1934,210,Total Universities and Colleges,£,
CEPHA18C01,Government Expenditure on Education,1934,1934,220,Total Dublin Institute for Advanced Studies,£,
CEPHA18C01,Government Expenditure on Education,1934,1934,230,Total Science and Art,£,40931
CEPHA18C01,Government Expenditure on Education,1934,1934,240,Total Reformatory and Industrial Schools,£,117531
CEPHA18C01,Government Expenditure on Education,1934,1934,250,Total Education Expenditure,£,4492949
CEPHA18C01,Government Expenditure on Education,1934,1934,260,First Level Education,£,
CEPHA18C01,Government Expenditure on Education,1934,1934,270,Second Level Education (Post Primary),£,
CEPHA18C01,Government Expenditure on Education,1934,1934,280,Third Level Education (Higher Education),£,
CEPHA18C01,Government Expenditure on Education,1934,1934,290,Office of the Minister for Education,£,
CEPHA18C01,Government Expenditure on Education,1934,1934,300,Department of Education Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1934,1934,310,Residential Homes and Special Schools,£,
CEPHA18C01,Government Expenditure on Education,1934,1934,320,Other Government Departments,£,
CEPHA18C01,Government Expenditure on Education,1934,1934,330,Total Gross Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1934,1934,340,Total Appropropriations in Aid,£,
CEPHA18C01,Government Expenditure on Education,1934,1934,350,Total Net Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1935,1935,100,Administration,£,154843
CEPHA18C01,Government Expenditure on Education,1935,1935,110,Teacher Training - Primary Education,£,99326
CEPHA18C01,Government Expenditure on Education,1935,1935,120,Teacher Salary - Primary Education,£,3192674
CEPHA18C01,Government Expenditure on Education,1935,1935,130,Teacher Pension - Primary Education,£,350696
CEPHA18C01,Government Expenditure on Education,1935,1935,135,Teacher Pension (Grants in Aid) - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1935,1935,140,Miscellaneous - Primary Education,£,42840
CEPHA18C01,Government Expenditure on Education,1935,1935,150,Appropriations in Aid (deduct) - Primary Education,£,88517
CEPHA18C01,Government Expenditure on Education,1935,1935,160,Total Primary Education,£,3597019
CEPHA18C01,Government Expenditure on Education,1935,1935,170,Total Secondary Education,£,407426
CEPHA18C01,Government Expenditure on Education,1935,1935,180,State funds - Technical (Vocational),£,229038
CEPHA18C01,Government Expenditure on Education,1935,1935,190,Local rates - Technical (Vocational),£,132168
CEPHA18C01,Government Expenditure on Education,1935,1935,200,Total Technical (Vocational),£,361206
CEPHA18C01,Government Expenditure on Education,1935,1935,210,Total Universities and Colleges,£,
CEPHA18C01,Government Expenditure on Education,1935,1935,220,Total Dublin Institute for Advanced Studies,£,
CEPHA18C01,Government Expenditure on Education,1935,1935,230,Total Science and Art,£,38140
